word,rootWord,sentimentTag,sentimentStrength,partOfSpeech,definition,exampleSentence,domain,relatedWords,isNegatable
membunuh,bunuh,negative,-0.9,verb,Mengambil nyawa seseorang atau sesuatu; melakukan pembunuhan.,Lelaki itu didakwa kerana membunuh jirannya.,criminal,"['mematikan', 'membantai']",True
tersebut,sebut,neutral,0,adjective,Yang sudah disebutkan atau disebut tadi; itu.,Masalah tersebut telah diselesaikan.,general,"['itu', 'demikian']",False
ke,ke,neutral,0,preposition,"Kata sendi nama yang menunjukkan arah, tujuan, atau tempat. Atau partikel penegas.",Dia pergi ke pasar.,general,"['kepada', 'pada']",False
tabrak,tabrak,negative,-0.6,verb,Melanggar atau bertembung dengan sesuatu; perlanggaran.,Kereta itu tabrak pokok di tepi jalan.,transport,"['langgar', 'rempuh', 'perlanggaran']",True
alih,alih,neutral,0,verb,"Mengubah kedudukan, arah, atau tempat.",Dia mengalih pandangannya ke arah lain.,general,"['ubah', 'tukar', 'pindah']",True
perempuan,perempuan,neutral,0,noun,Manusia jantina wanita. (Ejaan tidak formal 'pompuan').,Ramai perempuan membeli-belah di pusat membeli-belah itu.,general,"['wanita', 'gadis']",False
benar,benar,positive,0.7,adjective,Tidak salah; betul; sahih. Atau sangat; sungguh.,Apa yang dikatakannya itu benar belaka.,general,"['betul', 'sahih', 'tepat']",True
di dalam,dalam,neutral,0,prepositional phrase,Di bahagian ruang sebelah dalam sesuatu.,Buku itu ada di dalam beg.,general,"['di', 'dalam']",False
kuat,kuat,positive,0.6,adjective,Mempunyai daya tahan atau kekuatan fizikal yang tinggi; tidak mudah rosak.,Dia seorang yang kuat bekerja.,general,"['teguh', 'kental', 'bertenaga']",True
cuba,cuba,neutral,0,verb,Melakukan sesuatu untuk melihat hasilnya; menguji. (Ejaan tidak formal 'Coba').,Cuba selesaikan masalah ini.,general,"['berusaha', 'menguji']",True
ini,ini,neutral,0,demonstrative pronoun,Kata penunjuk untuk sesuatu yang dekat. (Juga singkatan tidak formal 'ni').,Buku ini sangat menarik.,general,"['itu', 'sana']",False
hukum,hukum,neutral,0,noun,Peraturan atau undang-undang yang ditetapkan; memberi hukuman.,Setiap negara mempunyai sistem hukumnya sendiri.,law,"['undang-undang', 'peraturan', 'denda']",True
asal,asal,neutral,0,noun,Punca atau permulaan sesuatu; yang asli atau semula jadi.,Dia berasal dari kampung.,general,"['punca', 'mula', 'asli']",True
sibuk,sibuk,neutral,0,adjective,Banyak kerja yang perlu dilakukan; tidak ada masa lapang.,Dia sibuk menyiapkan laporan.,general,"['giat', 'padat']",True
sebelum,belum,neutral,0,preposition,Pada masa atau saat yang mendahului sesuatu.,Sila pastikan pintu berkunci sebelum tidur.,general,"['selepas', 'sebelum itu']",False
patah,patah,negative,-0.5,adjective,Tidak lagi utuh; putus atau pecah kerana tekanan.,Kakinya patah akibat kemalangan itu.,health,"['pecah', 'putus', 'retak']",True
dengan,dengan,neutral,0,preposition,Bersama-sama atau menggunakan sesuatu.,Dia menulis dengan pensil.,general,"['bersama', 'menggunakan']",False
really,real,neutral,0,adverb,Sungguh; sangat. (Kata keterangan bahasa Inggeris).,This is really good.,general,"['very', 'truly']",True
lagu,lagu,neutral,0,noun,Gubahan bunyi-bunyi yang teratur dan berirama; nyanyian.,Dia suka mendengar lagu-lagu pop.,music,"['nyanyian', 'melodi']",False
menonton,tonton,neutral,0,verb,"Melihat sesuatu (seperti persembahan, filem) untuk hiburan atau maklumat.",Kami menonton filem di pawagam.,entertainment,"['melihat', 'menyaksikan']",True
duduk,duduk,neutral,0,verb,Berada dalam posisi tegak tetapi dengan punggung di atas tempat duduk.,Sila duduk di kerusi yang disediakan.,general,"['bersemayam', 'berdiri']",True
calar,calar,negative,-0.4,noun,Kesan goresan pada permukaan sesuatu.,Telefon bimbitnya ada calar sedikit.,general,"['gores', 'luka', 'parut']",True
criminals,criminal,negative,-0.8,noun,Orang yang telah melakukan jenayah. (Kata nama jamak bahasa Inggeris).,The police caught the criminals.,criminal,"['offenders', 'lawbreakers']",False
masa,masa,neutral,0,noun,Tempoh waktu; jangka waktu.,Dia memerlukan sedikit masa untuk berfikir.,general,"['waktu', 'tempoh']",False
bising,bising,negative,-0.5,adjective,Banyak bunyi yang mengganggu; riuh.,Jangan buat bising di perpustakaan.,general,"['riuh', 'hingar', 'senyap']",True
bijak,bijak,positive,0.7,adjective,Pintar dan pandai berfikir; cerdik.,Pelajar itu sangat bijak dalam menyelesaikan masalah.,general,"['pandai', 'cerdik', 'pintar']",True
kepada,kepada,neutral,0,preposition,Kata sendi nama yang menunjukkan arah atau sasaran.,Sampaikan salam saya kepada keluarga awak.,general,"['untuk', 'bagi']",False
kt,kita,neutral,0,pronoun,Singkatan kolokial bagi 'kita' (we/us).,Esok kt pergi sana.,general,"['kita', 'kami']",False
dua,dua,neutral,0,numeral,Bilangan selepas satu.,Dia membeli dua batang pensel.,general,"['sepasang', 'kedua']",False
yaa.,ya,neutral,0,interjection,Ungkapan persetujuan atau panggilan; sebutan panjang untuk 'ya'.,"""Yaa, saya faham,"" jawabnya.",general,"['ya', 'betul', 'okey']",True
drove,memandu,neutral,0,verb,Perkataan Inggeris yang bermaksud 'memandu' atau 'membawa'.,Dia drove kereta itu dengan laju.,automotive,"['memandu', 'bawa']",True
kejar,kejar,neutral,0,verb,Mengikut atau memburu dengan pantas untuk menangkap.,Anak anjing itu kejar rama-rama di taman.,general,"['buru', 'sambar']",True
daerah,daerah,neutral,0,noun,Bahagian pentadbiran sesuatu negeri atau wilayah.,Kampung saya terletak di daerah Melaka Tengah.,geography,"['kawasan', 'wilayah']",False
just,hanya,neutral,0,adverb,Perkataan Inggeris yang bermaksud 'hanya' atau 'sekadar'.,Saya just nak tahu.,general,"['hanya', 'sekadar']",True
cik..,cik,neutral,0,noun,Panggilan hormat untuk perempuan yang belum berkahwin atau secara umum (dengan elipsis kolokial).,Cikgu datang lewat hari ini.,general,"['puan', 'encik']",False
KLu,kalau,neutral,0,conjunction,Singkatan kolokial bagi 'kalau' (if).,"KLu hujan, kita batalkan perjumpaan.",general,"['kalau', 'jika', 'andai']",False
mati,mati,negative,-0.8,verb,Tidak hidup lagi; meninggal dunia.,Pokok bunga itu sudah mati kerana tiada air.,general,"['meninggal', 'wafat', 'hidup (antonym)']",True
begal,begal,negative,-0.9,verb,"Merompak atau meragut di jalan, biasanya dengan kekerasan.",Penjenayah itu cuba begal motosikalnya.,crime,"['rompak', 'ragut', 'pencuri']",True
wahai,wahai,neutral,0,interjection,Kata seru untuk memanggil atau menarik perhatian.,"Wahai rakyat Malaysia, marilah bersatu padu.",general,"['hai', 'oh']",False
Dan,dan,neutral,0,conjunction,"Kata hubung yang menyambungkan dua atau lebih perkataan, frasa, atau klausa.",Dia suka makan nasi goreng dan mi sup.,general,"['serta', 'lalu']",False
menangkapnya,tangkap,neutral,0,verb,Berhasil memegang atau memberkas sesuatu atau seseorang ('nya' merujuk kepada objek).,Polis berjaya menangkapnya selepas buruan panjang.,law enforcement,"['memberkas', 'menahan', 'melepaskannya (antonym)']",True
la.,lah,neutral,0,particle,Partikel penegas atau pelembut ayat dalam percakapan; bentuk kolokial bagi 'lah'.,Pergi la cepat.,general,"['lah', 'kan']",False
smpai,sampai,neutral,0,verb,Mencapai sesuatu destinasi atau tahap; hingga; bentuk kolokial bagi 'sampai'.,Dia smpai rumah lewat malam.,general,"['tiba', 'hingga']",True
tdak,tidak,neutral,0,adverb,Kata nafian untuk menafikan atau menyangkal sesuatu; bentuk kolokial bagi 'tidak'.,Dia tdak suka makan sayur.,general,"['tidak', 'bukan', 'tak']",True
undang2.,undang-undang,neutral,0,noun,Peraturan atau ketetapan yang mesti dipatuhi oleh masyarakat; bentuk kolokial bagi 'undang-undang'.,Semua rakyat perlu patuh undang2.,law,"['akta', 'peraturan', 'hukum']",False
pergi,pergi,neutral,0,verb,Bergerak atau bertolak dari suatu tempat.,Mereka pergi ke sekolah setiap hari.,general,"['beredar', 'bertolak', 'datang (antonym)']",True
defense,pertahanan,neutral,0,noun,Tindakan atau sistem melindungi daripada serangan atau bahaya; perkataan Inggeris untuk 'pertahanan'.,Pasukan itu mempunyai defense yang kuat.,military,"['pertahanan', 'perlindungan']",False
Puas,puas,positive,0.7,adjective,Merasa senang dan kenyang atau berpuas hati.,Dia berasa puas hati dengan pencapaiannya.,general,"['gembira', 'kenyang', 'tidak puas (antonym)']",True
kena,kena,neutral,0,verb,Terkena; perlu; sesuai; mesti.,Dia kena denda kerana memandu laju.,general,"['wajib', 'perlu', 'patut']",True
betapa,betapa,neutral,0,adverb,Kata tanya atau kata seru untuk menunjukkan kadar atau darjah.,Betapa cantiknya pemandangan di sana!,general,"['bagaimana', 'sungguh']",False
pgar,pagar,neutral,0,noun,Struktur yang didirikan untuk membatasi atau melindungi sesuatu kawasan; bentuk kolokial bagi 'pagar'.,Rumah mereka ada pgar tinggi.,architecture,"['tembok', 'dinding']",False
astu,selepas itu,neutral,0,adverb,Singkatan atau sebutan tidak formal bagi 'selepas itu' atau 'pastu'.,"Makan dulu, astu baru tidur.",general,"['kemudian', 'selepas itu']",False
keseluruhan..,keseluruhan,neutral,0,noun,Seluruhnya; meliputi semua bahagian (dengan elipsis kolokial).,Dia bertanggungjawab untuk keseluruhan projek.,general,"['semua', 'total']",False
import,import,neutral,0,verb,Membawa masuk barang dari negara lain.,Malaysia import banyak barangan elektronik.,economics,"['eksport (antonym)', 'membawa masuk']",True
Mungkin,mungkin,neutral,0,adverb,Ada kemungkinan; barangkali.,Mungkin dia akan datang esok.,general,"['barangkali', 'agaknya']",True
Kalo,kalau,neutral,0,conjunction,Jika; andai; bentuk kolokial bagi 'kalau'.,"Kalo rajin, pasti berjaya.",general,"['jika', 'andai']",False
tu..cctv,"itu, CCTV",neutral,0,"pronoun, noun",Gabungan 'itu' (that) dan 'CCTV' (Closed-Circuit Television) dalam konteks kolokial.,Tengok tu..cctv ada rakam kejadian.,technology,"['itu', 'kamera']",False
masalah,masalah,negative,-0.7,noun,Sesuatu yang perlu diselesaikan atau difikirkan; kesulitan.,Kami menghadapi masalah kewangan yang serius.,general,"['kesulitan', 'halangan', 'penyelesaian (antonym)']",True
pimpinan,pimpin,neutral,0,noun,Orang yang memimpin atau proses memimpin; kepimpinan.,Pimpinan baharu itu membawa banyak perubahan.,politics,"['pemimpin', 'kepimpinan', 'ketua']",True
warga,warga,neutral,0,noun,Penduduk atau ahli dalam sesuatu kumpulan atau masyarakat.,Warga negara bertanggungjawab menjaga keamanan.,social,"['penduduk', 'rakyat', 'anggota']",True
musibat!,musibat,negative,-0.9,interjection,Bencana; malapetaka; juga digunakan sebagai kata makian.,"""Musibat! Kereta aku kemek!"" jeritnya.",general,"['celaka', 'malang', 'bala']",False
pompuan,perempuan,neutral,0,noun,Manusia jantina wanita; bentuk kolokial bagi 'perempuan'.,Pompuan itu memakai baju merah.,general,"['wanita', 'gadis', 'lelaki (antonym)']",True
betol,betul,positive,0.6,adjective,Tidak salah; benar; bentuk kolokial bagi 'betul'.,Kata-katanya memang betol.,general,"['benar', 'tepat', 'salah (antonym)']",True
menetak,tetak,negative,-0.8,verb,Memotong atau mengerat dengan alat tajam seperti parang.,Penjenayah itu cuba menetak mangsanya.,crime,"['memotong', 'mengerat', 'melibas']",True
kot,agaknya,neutral,0,particle,Mungkin; agaknya; partikel kolokial untuk menyatakan ketidakpastian.,Dia datang lewat kot.,general,"['mungkin', 'barangkali']",False
kalah,kalah,negative,-0.7,verb,Tidak menang dalam pertandingan atau peperangan.,Pasukan itu kalah dalam perlawanan semalam.,sports,"['tewas', 'menyerah', 'menang (antonym)']",True
keluar,keluar,neutral,0,verb,Bergerak dari dalam ke luar; meninggalkan.,Mereka keluar dari bangunan itu.,general,"['pergi', 'berangkat', 'masuk (antonym)']",True
mke,muka,neutral,0,noun,Bahagian hadapan kepala manusia; wajah; bentuk kolokial bagi 'muka'.,Mke dia nampak letih.,anatomy,"['wajah', 'rupa']",False
hon..,hon,neutral,0,noun,Bunyi isyarat yang dihasilkan oleh kenderaan (dari Inggeris 'horn'); dengan elipsis kolokial.,Pemandu itu tekan hon.. bila jalan sesak.,automotive,"['klakson', 'siren']",True
malaysia.,Malaysia,neutral,0,noun,Sebuah negara di Asia Tenggara.,Saya bangga menjadi rakyat Malaysia.,geography,"['negara', 'tanah air']",False
pjra,penjara,negative,-0.6,noun,Bangunan tempat menahan banduan; jel; bentuk kolokial/singkatan bagi 'penjara'.,Dia dijatuhi hukuman masuk pjra.,law,"['jel', 'lokap', 'kurungan']",False
didalem,di dalam,neutral,0,preposition,Di bahagian dalam sesuatu; bentuk kolokial bagi 'di dalam'.,Kucing itu bersembunyi didalem kotak.,general,"['dalam', 'di luar (antonym)']",False
akak..tu,"kakak, itu",neutral,0,"noun, pronoun","Gabungan kolokial 'kakak' (elder sister) dan 'itu' (that), sering digunakan sebagai rujukan.","Akak..tu, dia nak cakap dengan awak.",general,"['kakak', 'adik']",False
mangsa,mangsa,negative,-0.7,noun,Orang atau binatang yang menjadi korban atau sasaran.,Mangsa kemalangan itu segera dikejarkan ke hospital.,general,"['korban', 'sasaran', 'pelaku (antonym)']",True
lexus,Lexus,neutral,0,noun,Jenama kereta mewah dari Jepun.,Ayah saya baru membeli sebuah Lexus baharu.,automotive,"['kereta', 'jenama']",False
teryata,ternyata,neutral,0,adverb,Menjadi jelas atau terbukti; hakikatnya; bentuk kolokial/salah ejaan bagi 'ternyata'.,Teryata dia yang bersalah dalam hal itu.,general,"['terbukti', 'kelihatan', 'rupanya']",True
rasa..,rasa,neutral,0,noun/verb,Perasaan atau kemampuan merasa; juga dapat berarti mencoba atau mengalami.,Saya tidak rasa lapar.,general,"['perasaan', 'pengalaman', 'merasai']",True
beliau.,beliau,neutral,0.1,pronoun,Kata ganti nama diri ketiga untuk orang yang dihormati atau mempunyai kedudukan.,Beliau seorang tokoh yang dihormati.,general,"['dia', 'mereka']",False
"musnahkan,",musnah,negative,-0.8,verb,Menjadikan sesuatu hancur atau rosak sama sekali.,Gempa bumi itu musnahkan banyak bangunan.,disaster,"['hancurkan', 'binasakan', 'rosakkan']",True
pelaku.,laku,neutral,0,noun,"Orang yang melakukan sesuatu perbuatan, terutama perbuatan salah.",Pelaku jenayah itu telah ditangkap.,law,"['pengerja', 'pembuat', 'suspek']",True
mobil,mobil,neutral,0,noun,Kereta (kenderaan bermotor beroda empat).,Dia memandu mobil baru itu.,automotive,"['kereta', 'kenderaan']",True
gantung,gantung,neutral,0,verb,Mengaitkan sesuatu supaya tergantung.,Dia gantung baju itu di ampaian.,general,"['tergantung', 'kait']",True
lama2,lama,neutral,0,adverb,Menunjukkan tempoh masa yang semakin berpanjangan atau akhirnya.,Lama2 dia akan faham juga.,general,"['akhirnya', 'kemudian']",True
imagine,imagine,neutral,0,verb,Membayangkan atau mengkhayalkan sesuatu. (Pinjaman daripada bahasa Inggeris),Cuba imagine situasi itu.,general,"['bayangkan', 'khayalkan']",True
amatir,amatir,neutral,-0.2,adjective/noun,Orang yang melakukan sesuatu sebagai hobi dan bukan sebagai pekerjaan profesional; tidak mahir.,Kumpulan muzik itu masih amatir.,general,"['amatur', 'tidak profesional', 'baru']",True
bangang.,bangang,negative,-0.9,adjective,Sangat bodoh; tolol.,Jangan jadi orang bangang.,general,"['bodoh', 'dungu', 'tolol']",True
hentam..,hentam,negative,-0.7,verb,Memukul atau menumbuk dengan kuat; mengkritik dengan hebat.,Dia hentam meja itu kerana marah.,general,"['pukul', 'tumbuk', 'belasah', 'kritik']",True
kete,kereta,neutral,0,noun,Bentuk singkatan tidak formal bagi 'kereta'.,Dia naik kete baru.,automotive,"['kereta', 'mobil']",True
cedera..,cedera,negative,-0.6,adjective/verb,Mengalami luka atau kecederaan fizikal.,Dia cedera akibat kemalangan itu.,health,"['luka', 'tercedera']",True
a,a,neutral,0,interjection/filler,"Bunyi atau singkatan yang tidak formal, selalunya sebagai penanda tanya atau pengisi kata.","Dia dah makan, a?",general,"['eh', 'ha']",False
stay,stay,neutral,0,verb,Kekal atau tinggal di suatu tempat. (Pinjaman daripada bahasa Inggeris),Kita stay sini malam ni.,general,"['tinggal', 'kekal', 'duduk']",True
"hancurkan,",hancur,negative,-0.8,verb,Merosakkan atau memusnahkan sesuatu sama sekali.,Pihak berkuasa hancurkan sarang penjenayah.,general,"['musnahkan', 'binasakan', 'rosakkan']",True
Melayu,Melayu,neutral,0,noun/adjective,"Merujuk kepada kaum, bahasa, atau kebudayaan Melayu.",Dia fasih berbahasa Melayu.,culture/ethnicity,"['bangsa', 'bahasa']",True
movie,movie,neutral,0,noun,Filem (pinjaman daripada bahasa Inggeris).,Mari kita tonton movie baru.,entertainment,"['filem', 'wayang']",True
aammmiiiinnn,amin,positive,0.7,interjection,"Ungkapan doa atau persetujuan terhadap doa, berharap ia dimakbulkan.","Semoga kita semua sihat, aammmiiiinnn.",religion,"['amin', 'makbul']",False
lpstu,lepas itu,neutral,0,adverb,Singkatan tidak formal untuk 'selepas itu' atau 'kemudiannya'.,"Dia makan, lpstu tidur.",general,"['selepas itu', 'kemudian']",False
kali,kali,neutral,0,noun/adverb,Merujuk kepada kekerapan sesuatu berlaku atau sebagai gandaan.,Berapa kali awak pergi ke sana?,general,"['ganda', 'peristiwa']",True
hanya,hanya,neutral,0,adverb,Sekadar itu sahaja; tidak lebih daripada itu.,Dia hanya seorang pelajar.,general,"['cuma', 'sahaja', 'sekadar']",False
xtau,tahu,neutral,0,verb,Singkatan tidak formal bagi 'tidak tahu'.,Saya xtau nak buat apa.,general,"['tak tahu', 'tidak tahu']",False
😂😂😂🤣🤣🤣,(N/A - emoji cluster),positive,0.9,interjection/emoji,"Ungkapan gelak tawa yang sangat kuat, melambangkan sesuatu yang lucu atau menghiburkan.",Cerita awak memang kelakar 😂😂😂🤣🤣🤣.,informal communication,"['ketawa', 'lucu', 'geli hati']",False
"kereta,",kereta,neutral,0,noun,Kenderaan bermotor beroda empat.,Kereta itu sangat laju.,automotive,"['mobil', 'kenderaan']",True
mempertahan,tahan,positive,0.5,verb,Melakukan usaha untuk mempertahankan sesuatu atau diri.,Dia cuba mempertahan haknya.,general/law,"['mempertahankan', 'melindungi', 'membela']",True
",nk",hendak,neutral,0,verb,Singkatan tidak formal bagi 'hendak' atau 'nak'.,"Saya ,nk pergi sekarang.",general,"['hendak', 'mahu', 'nak']",True
ketuk,ketuk,neutral,0,verb,Memukul atau mengetuk dengan bunyi yang dihasilkan.,Dia ketuk pintu beberapa kali.,general,"['pukul', 'palu']",True
ptut,patut,neutral,0,auxiliary verb,"Singkatan tidak formal bagi 'patut', bermaksud seharusnya atau selayaknya.",Dia ptut datang awal.,general,"['patut', 'seharusnya', 'selayaknya']",True
tu🌹,itu,positive,0.3,demonstrative pronoun,"Singkatan tidak formal bagi 'itu', dengan penambahan emoji mawar yang boleh menunjukkan keindahan atau kasih sayang.",Cantik sungguh bunga tu🌹.,informal communication,"['itu', 'sana']",False
hasil,hasil,neutral,0.1,noun/verb,Barang atau perkara yang didapati atau dicipta daripada sesuatu usaha; akibat.,Hasil kerja kerasnya membuahkan kejayaan.,general,"['keluaran', 'produk', 'dapatan', 'akibat']",True
Cuma,cuma,neutral,0,adverb,Hanya; sekadar.,Cuma ini sahaja yang saya ada.,general,"['hanya', 'sahaja', 'sekadar']",False
lesen,lesen,neutral,0,noun,Dokumen rasmi yang memberi kebenaran untuk melakukan sesuatu.,Dia baru dapat lesen memandu.,law/administration,"['izin', 'kebenaran']",True
dorg,mereka,neutral,0,pronoun,Singkatan tidak formal bagi 'mereka'.,Dorg dah sampai ke?,informal communication,"['mereka', 'depa']",False
bodoh,bodoh,negative,-0.8,adjective,Tidak cerdik; dungu; tidak tahu apa-apa.,Jangan buat kerja bodoh.,general,"['dungu', 'tolol', 'bangang']",True
guna,guna,neutral,0,verb,Memakai atau memanfaatkan sesuatu.,Dia guna pisau untuk potong buah.,general,"['pakai', 'manfaat', 'gunakan']",True
lagi.,lagi,neutral,0,adverb,"Menunjukkan tambahan, ulangan, atau tempoh berterusan.",Dia makan lagi.,general,"['tambahan', 'semula']",True
pit,pit,neutral,0,noun,"Singkatan tidak formal untuk 'duit' (wang) atau 'lubang' (misalnya, 'pit stop' dalam perlumbaan).",Saya tak ada pit nak beli tu.,informal/finance,"['duit', 'wang', 'lubang']",True
dijauhknla,jauh,neutral,0,verb,"Singkatan tidak formal bagi 'dijauhkanlah', bermaksud biarlah sesuatu itu dijauhkan.",Semoga kita dijauhknla dari bencana.,general/prayer,"['dijauhkan', 'elakkan']",False
pn,pun,neutral,0,particle,"Singkatan tidak formal bagi 'pun', berfungsi sebagai penegas atau menunjukkan pelbagai makna seperti 'juga' atau 'walaupun'.",Dia pn nak ikut.,informal communication,"['juga', 'walau']",False
nye,nya,neutral,0,pronoun/suffix,"Singkatan tidak formal bagi 'nya', menunjukkan kepunyaan atau sebagai penegas.",Barang nye dah hilang.,informal communication,"['nya', 'dia']",False
keknya,agaknya,neutral,0,adverb/conjunction,"Singkatan tidak formal bagi 'agaknya' atau 'sepertinya', menunjukkan kemungkinan atau andaian.",Keknya dia tak datang hari ni.,informal communication,"['agaknya', 'sepertinya', 'rasanya']",True
akan,akan,neutral,0,auxiliary verb,Menunjukkan sesuatu yang akan berlaku pada masa hadapan.,Dia akan pergi esok.,general,"['bakal', 'nanti']",True
bunuh,bunuh,negative,-0.9,verb,Mengakhiri nyawa seseorang atau sesuatu.,Dia cuba bunuh diri.,crime,"['membunuh', 'maut', 'mati']",True
so,jadi,neutral,0,conjunction/adverb,Oleh itu; jadi (pinjaman daripada bahasa Inggeris).,"Dia sakit, so tak dapat datang.",general,"['jadi', 'oleh itu', 'maka']",False
cermin?😅🤣,cermin,positive,0.4,noun,Permukaan licin yang memantulkan imej; sering digunakan dengan emoji untuk menunjukkan kelucuan atau sindiran.,Awak nampak apa dalam cermin?😅🤣,general/informal communication,"['kaca', 'pantulan']",True
MalaysiaKu,Malaysia,positive,0.8,noun,"Malaysia, dengan imbuhan '-ku' yang menunjukkan rasa sayang atau kepunyaan.",Hidup MalaysiaKu!,politics/patriotism,"['tanah air', 'negara']",False
undang2,undang-undang,neutral,0,noun,Singkatan tidak formal bagi 'undang-undang'.,Undang2 negara kita ketat.,law,"['hukum', 'peraturan']",True
tindakan,tindak,neutral,0,noun,Perbuatan atau langkah yang diambil.,Pihak polis akan ambil tindakan.,general/law,"['perbuatan', 'aksi', 'langkah']",True
sedar,sedar,neutral,0.2,verb/adjective,Mengetahui atau menyedari sesuatu; tidak lena.,Dia sedar akan kesilapannya.,general,"['insaf', 'faham', 'tahu']",True
Penjenayah,jenayah,negative,-0.9,noun,Orang yang melakukan jenayah.,Penjenayah itu melarikan diri.,crime,"['penjahat', 'pesalah', 'banduan']",True
cedera,cedera,negative,-0.6,adjective/verb,Mengalami luka atau kecederaan fizikal.,Dia cedera akibat kemalangan itu.,health,"['luka', 'tercedera']",True
mangsa,mangsa,negative,-0.7,noun,"Orang atau benda yang menjadi sasaran, korban, atau menerima akibat buruk.",Dia adalah mangsa penipuan.,general/crime,"['korban', 'sasaran', 'penerima']",True
pencuri,curi,negative,-0.8,noun,Orang yang mencuri.,Pencuri itu ditangkap polis.,crime,"['maling', 'penyamun']",True
perompak,rompak,negative,-0.9,noun,Orang yang merompak.,Perompak bank itu bersenjata.,crime,"['penyamun', 'penjahat']",True
perogol,rogol,negative,-1,noun,Orang yang melakukan rogol.,Perogol itu dijatuhi hukuman berat.,crime,[],True
semualah,semua,neutral,0,pronoun/determiner,Segala-galanya; kesemua; sering digunakan dengan penegas '-lah'.,Ambil sajalah semualah.,general,"['kesemua', 'segala']",False
kecik2,kecil,neutral,0,adjective,"Bentuk tidak formal atau reduplikasi untuk 'kecil', bermaksud sangat kecil atau berulang kali kecil.",Jangan main api kecik2.,general,"['kecil', 'kanak-kanak']",True
bangang,bangang,negative,-0.8,adjective,Sangat bodoh; tidak cerdik.,"Jangan jadi bangang, fikirkan akibatnya.",general,"['bodoh', 'bebal', 'dungu']",True
berniat,niat,neutral,0,verb,Mempunyai tujuan atau keazaman untuk melakukan sesuatu.,Dia berniat untuk membantu mangsa banjir.,general,"['berhasrat', 'bertujuan', 'bercadang']",True
dibandaraya,bandaraya,neutral,0,adverb,Di dalam atau di kawasan bandaraya.,Kehidupan dibandaraya sangat sibuk.,general,"['di kota', 'di bandar']",False
kisah,kisah,neutral,0,noun,Cerita atau riwayat tentang sesuatu peristiwa.,Kisah pengembaraannya sangat menarik.,general,"['cerita', 'riwayat', 'dongeng']",True
atau,atau,neutral,0,conjunction,Kata hubung untuk menunjukkan pilihan.,Awak mahu kopi atau teh?,general,['mahupun'],False
rasuk,rasuk,negative,-0.3,verb / noun,(verb) Memasuki atau menguasai tubuh seseorang (oleh roh atau jin); (noun) Tiang mendatar yang menyokong struktur.,Gadis itu dikatakan dirasuk syaitan.,spiritual / construction,"['menguasai', 'merasuk', 'alang', 'galang']",True
Salam,Salam,positive,0.7,interjection / noun,Ucapan sejahtera atau damai; bentuk ucapan hormat.,Salam sejahtera kepada semua.,general,"['selamat', 'sejahtera']",False
ulng2...,ulang,neutral,0,verb,"Singkatan untuk ""ulang-ulang"" atau ""mengulang-ulang"", bermaksud melakukan sesuatu berkali-kali.",Dia asyik ulng2 soalan yang sama.,general,"['berulang kali', 'mengulang']",True
mak,mak,positive,0.5,noun,Ibu; panggilan hormat untuk ibu.,Mak saya sedang memasak di dapur.,family,"['ibu', 'bonda', 'umi']",False
hairan,hairan,neutral,0,adjective,Berasa pelik atau terkejut tentang sesuatu yang luar biasa.,Saya hairan melihat kelakuannya.,general,"['pelik', 'terkejut', 'takjub']",True
shit,shit,negative,-0.9,interjection / noun,"Kata makian yang menunjukkan kekecewaan, kemarahan, atau kejutan. (Berasal dari bahasa Inggeris).","Oh, shit! Saya tertinggal dompet.",slang / general,"['celaka', 'sial', 'bangsat']",False
Driver,Driver,neutral,0,noun,Orang yang memandu kenderaan; pemandu. (Berasal dari bahasa Inggeris).,Driver bas itu sangat berhati-hati.,transport,"['pemandu', 'pengemudi']",False
bagus,bagus,positive,0.8,adjective,Baik; elok; cemerlang.,Idea awak sangat bagus.,general,"['baik', 'elok', 'cemerlang', 'hebat']",True
parang,parang,neutral,0,noun,Sejenis alat tajam seperti pedang pendek yang digunakan untuk memotong atau membabat.,Petani itu menggunakan parang untuk membersihkan semak.,agriculture / tool,"['pisau', 'pedang', 'golok']",False
negara,negara,neutral,0,noun,Wilayah yang diduduki oleh sesuatu bangsa dan diperintah oleh kerajaan.,Kita harus cinta akan negara.,politics / geography,"['negeri', 'wilayah', 'bumi']",False
sekalian,sekali,neutral,0,adverb / pronoun,Semua sekali; seluruhnya.,"Hadirin sekalian, terima kasih atas kehadiran anda.",general,"['semua', 'seluruh', 'bersama']",False
ke..,ke,neutral,0,preposition / particle,(Preposisi) Menunjukkan arah; (Partikel) Awalan untuk nombor ordinal. (Diberikan sebagai singkatan/fragment),Dia pergi ke pasar.,general,"['kepada', 'pada']",False
semua,semua,neutral,0,quantifier / pronoun,Seluruhnya; setiap satu.,Semua pelajar hadir ke sekolah.,general,"['sekalian', 'seluruh', 'segala']",False
aneh,aneh,neutral,0,adjective,Pelik; ganjil; luar biasa.,Dia mempunyai tabiat yang aneh.,general,"['pelik', 'ganjil', 'luar biasa', 'gersang']",True
"mudah,carilah","mudah, cari",neutral,0,"adjective, verb",(mudah) Tidak sukar; senang; (carilah) Cuba dapatkan atau temui. (Gabungan dua perkataan),"Soalan ini mudah, carilah jawapannya sendiri.",general,"['senang', 'gampang', 'temui', 'dapatkan']",True
